2025-05-27 16:55:56 INFO  com.raymedis.rxviewui.controller.LoginPage - logged In
2025-05-27 16:56:07 INFO  com.raymedis.rxviewui.service.study.StudyMainController - Saving for Pacs...
2025-05-27 16:56:07 INFO  com.raymedis.rxviewui.modules.dicom.DicomService - Status : Uploading Begins
2025-05-27 16:56:07 INFO  com.raymedis.rxviewui.modules.dicom.DicomService - Creating DICOM File/s...
2025-05-27 16:56:07 INFO  com.raymedis.rxviewui.modules.dicom.DicomService - needsAnnotations needsStudyInformation 
2025-05-27 16:56:08 INFO  com.raymedis.rxviewui.controller.ExportStudy - before last redraw 2.98046875 

2025-05-27 16:56:08 INFO  com.raymedis.rxviewui.controller.ExportStudy - after last redraw

2025-05-27 16:56:08 INFO  com.raymedis.rxviewui.controller.ExportStudy - after last annotation

2025-05-27 16:56:08 INFO  com.raymedis.rxviewui.modules.dicom.DicomService - D:\Work\RxView\44_RxView_ThumbNail/dcmOutput/11.dcm
2025-05-27 16:56:08 INFO  com.raymedis.rxviewui.modules.dicom.DicomService - Uploading to server...
2025-05-27 16:56:08 INFO  com.raymedis.rxviewui.modules.dicom.DicomCStore - 
Initiating C-STORE operation...
2025-05-27 16:56:09 INFO  com.raymedis.rxviewui.modules.dicom.DicomService - Upload completed successfully!
2025-05-27 16:57:17 INFO  com.raymedis.rxviewui.modules.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
